Id	Name	Genre	DetailType	ParticularType	Level	ObjIndex	TypeDesc	Desc	BindType	Price	LevelLimit	JobLimit	SexLimit	ClassName	Category	BasePropValue	JobPropValue
id	名字	道具类型	道具详细类型	道具详细子类型	品质/等级	对象索引	类型描述	描述	绑定类型	价格	等级限制	职业限制	性别限制	附加类名	装备位置	基础属性	职业属性
1010110101	01级木剑	1	1	101	1		主手	一把测试木剑	0	1000	1	0	-1	equip	1	11001,11002	1001
1010110201	10级木剑	1	1	102	1		主手	一把测试木剑	0	2000	10	0	-1	equip	1	11001,11002	1001
1010110301	20级木剑	1	1	103	1		主手	一把测试木剑	0	3000	20	0	-1	equip	1	11001,11002	1001
1010110401	30级木剑	1	1	104	1		主手	一把测试木剑	0	4000	30	0	-1	equip	1	11001,11002	1001
1010120101	01级石剑	1	1	201	1		主手	一把测试石剑	0	5000	1	0	-1	equip	1	12001,12002	1001
1010120201	10级石剑	1	1	202	1		主手	一把测试石剑	0	6000	10	0	-1	equip	1	12001,12002	1001
1010120301	20级石剑	1	1	203	1		主手	一把测试石剑	0	7000	20	0	-1	equip	1	12001,12002	1001
1010120401	30级石剑	1	1	204	1		主手	一把测试石剑	0	8000	30	0	-1	equip	1	12001,12002	1001
1010110101	01级木枪	1	1	101	1		主手	一把测试木枪	0	1000	1	1	-1	equip	1	11001,11002	1002
1010110201	10级木枪	1	1	102	1		主手	一把测试木枪	0	2000	10	1	-1	equip	1	11001,11002	1002
1010110301	20级木枪	1	1	103	1		主手	一把测试木枪	0	3000	20	1	-1	equip	1	11001,11002	1002
1010110401	30级木枪	1	1	104	1		主手	一把测试木枪	0	4000	30	1	-1	equip	1	11001,11002	1002
1010120101	01级石枪	1	1	201	1		主手	一把测试石枪	0	5000	1	1	-1	equip	1	12001,12002	1002
1010120201	10级石枪	1	1	202	1		主手	一把测试石枪	0	6000	10	1	-1	equip	1	12001,12002	1002
1010120301	20级石枪	1	1	203	1		主手	一把测试石枪	0	7000	20	1	-1	equip	1	12001,12002	1002
1010120401	30级石枪	1	1	204	1		主手	一把测试石枪	0	8000	30	1	-1	equip	1	12001,12002	1002
1010110101	01级木法杖	1	1	101	1		主手	一把测试木法杖	0	1000	1	2	-1	equip	1	11001,11002	1003
1010110201	10级木法杖	1	1	102	1		主手	一把测试木法杖	0	2000	10	2	-1	equip	1	11001,11002	1003
1010110301	20级木法杖	1	1	103	1		主手	一把测试木法杖	0	3000	20	2	-1	equip	1	11001,11002	1003
1010110401	30级木法杖	1	1	104	1		主手	一把测试木法杖	0	4000	30	2	-1	equip	1	11001,11002	1003
1010120101	01级石法杖	1	1	201	1		主手	一把测试石法杖	0	5000	1	2	-1	equip	1	12001,12002	1003
1010120201	10级石法杖	1	1	202	1		主手	一把测试石法杖	0	6000	10	2	-1	equip	1	12001,12002	1003
1010120301	20级石法杖	1	1	203	1		主手	一把测试石法杖	0	7000	20	2	-1	equip	1	12001,12002	1003
1010120401	30级石法杖	1	1	204	1		主手	一把测试石法杖	0	8000	30	2	-1	equip	1	12001,12002	1003
1010130101	01级百搭菜刀	1	1	301	1		主手	一把测试百搭菜刀	0	1000	1	0,1,2,3	-1	equip	1	13001,13002	2001
1010130201	10级百搭菜刀	1	1	302	1		主手	一把测试百搭菜刀	0	2000	10	0,1,2,3	-1	equip	1	13001,13002	2001
1010130301	20级百搭菜刀	1	1	303	1		主手	一把测试百搭菜刀	0	3000	20	0,1,2,3	-1	equip	1	13001,13002	2001
1010130401	30级百搭菜刀	1	1	304	1		主手	一把测试百搭菜刀	0	4000	30	0,1,2,3	-1	equip	1	13001,13002	2001
1010130501	40级百搭菜刀	1	1	305	1		主手	一把测试百搭菜刀	0	5000	40	0,1,2,3	-1	equip	1	13001,13002	2001
1010130601	50级百搭菜刀	1	1	306	1		主手	一把测试百搭菜刀	0	6000	50	0,1,2,3	-1	equip	1	13001,13002	2001
1010130701	60级百搭菜刀	1	1	307	1		主手	一把测试百搭菜刀	0	7000	60	0,1,2,3	-1	equip	1	13001,13002	2001
1010130801	70级百搭菜刀	1	1	308	1		主手	一把测试百搭菜刀	0	8000	70	0,1,2,3	-1	equip	1	13001,13002	2001
